stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped, corrAns ,tilt , key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
48,0.5,13.0,56.41860768100014,,56.4057743169833,56.41860768100014,56.919140969985165,56.919140969985165,56.919140969985165,57.21839046297828,58.75525264197495,left,-13.0,1,1,1.818378759024199,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
49,0.5,13.0,58.768656553002074,,58.75541271897964,58.768656553002074,59.26941250899108,59.26941250899108,59.26941250899108,59.569846000988036,60.006005093979184,left,-13.0,1,1,0.7251611069659702,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
50,0.5,13.0,60.01858807000099,,60.00617525097914,60.01858807000099,60.51933720399393,60.51933720399393,60.51933720399393,60.81903641403187,61.18906502198661,left,-13.0,1,1,0.6666686750249937,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
51,0.5,12.5,61.20263137901202,,61.189223625988234,61.20263137901202,61.70298449101392,61.70298449101392,61.70298449101392,62.00277968402952,62.45391977200052,right,12.5,1,1,0.7398652510019019,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
52,0.5,12.5,62.469063423981424,,62.454020223987754,62.469063423981424,62.95365868101362,62.95365868101362,62.970405263011344,63.252821442030836,63.505365988996346,left,-12.5,1,1,0.5356595490011387,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
53,0.5,12.5,63.51937241398264,,63.50554853200447,63.51937241398264,64.01926112698857,64.01926112698857,64.01926112698857,64.31925978697836,64.5046542690252,right,12.5,1,1,0.47234729200135916,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
54,0.5,12.0,64.51935823902022,,64.50476603402058,64.51935823902022,65.01961373898666,65.01961373898666,65.01961373898666,,65.17093541601207,left,-12.0,1,1,0.13811040995642543,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
55,0.5,12.0,65.18599340697983,,65.17103316797875,65.18599340697983,65.68643047299702,65.68643047299702,65.68643047299702,,65.82133169902954,left,-12.0,0,0,0.11872223601676524,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
56,0.5,12.5,65.83589874202153,,65.82144752901513,65.83589874202153,66.33603053999832,66.33603053999832,66.33603053999832,,66.5877500870265,left,-12.5,1,1,0.24107449798611924,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
57,0.5,12.5,66.60259731102269,,66.5878496710211,66.60259731102269,67.08650448702974,67.08650448702974,67.1030196089996,67.4022758170031,68.03770752903074,left,-12.5,1,1,0.944222622027155,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
